2013年一本录取率排名
1	 天津	 6.3	 1.5447	 24.52%
2	 北京	 7.27	 1.7686	 24.33%
3	 上海	 5.3	 1.2	 22.64%
4	 青海	 3.6733	 0.6837	 18.61%
5	 山东	 50.9	 9.351	 18.37%
6	 宁夏	 5.87	 1.001	 17.05%
7	 吉林	 15.5	 2.2435	 14.47%
8	 福建	 25.5	 3.6186	 14.19%
9	 贵州	 24.78	 3.4369	 13.87%
10	 浙江	 31.3	 4.1887	 13.38%
11	 陕西	 36.65	 4.8422	 13.21%
12	 新疆	 15.87	 2.05	 12.92%
13	 云南	 23.6	 3.0179	 12.79%
14	 海南	 5.6	 0.6396	 11.42%
15	 内蒙古	 19.3	 2.163	 11.21%
16	 甘肃	 28.3	 2.9598	 10.46%
17	 安徽	 51.1	 5.1692	 10.12%
18	 江苏	 45.1	 4.5085	 10.00%
19	 湖南	  37.3	 3.5789	 9.59%
20	 黑龙江	 20.8	 1.9931	 9.58%
21	 重庆	 23.5	 2.195	 9.34%
22	 江西	 27.43	 2.4891	 9.07%
23	 河北	 44.98	 4.0602	 9.03%
24	 湖北	 43.8	 3.5923	 8.20%
25	 广西	 29.8	 2.3	 7.72%
26	 河南	 71.63	 4.8655	 6.79%
27	 广东	 72.7	 4.3092	 5.93%
28	 山西	 35.8	 2.1091	 5.89%
29	 辽宁	 25.4	 1.4583	 5.74%
30	 四川	 54	 	 2.849   5.28%
31	 西藏	 1.89	 0.0904	 4.78%
